Warning: {
	Model use is disabled for direction type. Direction types ORTHO N+1 QUAD are changed to ORTHO N+1 NEG.
} 
Warning: {
	Model use is disabled for problem with categorical variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	449+16	(	2 0 4388.8558745384 2 5588.0746245384 )	54.2507454186 (ExtendedPoll)
	449+21	(	2 0 4365.4183745384 2 5619.3246245384 )	54.1334399484 (ExtendedPoll)
	449+32	(	2 0 4362.7328276634 2 5633.9730620384 )	54.0077970233 (ExtendedPoll)
	449+40	(	2 0 4357.8500151634 2 5639.1000151634 )	53.9982754666 (ExtendedPoll)
	449+41	(	2 0 4343.2015776634 2 5654.4808745384 )	53.9705297268 (ExtendedPoll)
	449+46	(	2 0 4332.9476714134 2 5664.2464995384 )	53.9618869405 (ExtendedPoll)
	449+47	(	2 0 4302.1859526634 2 5693.5433745384 )	53.9391543798 (ExtendedPoll)
	449+48	(	2 0 4179.1390776634 2 5810.7308745384 )	53.8969192694 (ExtendedPoll)
	449+56	(	2 0 4159.6078276634 2 5831.2386870384 )	53.8795345430 (ExtendedPoll)
	449+57	(	2 0 4101.0140776634 2 5892.7621245384 )	53.8412486326 (ExtendedPoll)
	449+74	(	2 0 4098.7710356712 2 5895.7528471947 )	53.8343685888 (ExtendedPoll)
	449+75	(	2 0 4092.0419096947 2 5904.7250151634 )	53.8139898492 (ExtendedPoll)
	449+79	(	2 0 4107.6669096947 2 5889.1000151634 )	53.8139497012 (ExtendedPoll)
	449+87	(	2 0 4113.7704253197 2 5884.5223784447 )	53.8002445321 (ExtendedPoll)
	449+97	(	2 0 4110.7797026634 2 5888.8558745384 )	53.7876969649 (ExtendedPoll)
	560	(	3 0 2935.5232318242 2 3632.0821841558 1 3432.3484500249 )	46.5930668126
	574	(	3 0 2935.3015025457 2 3631.8747599920 1 3432.7244361242 )	46.5929868220
	575	(	3 0 2934.6363147100 2 3631.2524875005 1 3433.8523944219 )	46.5927473628
	576	(	3 0 2931.9755633672 2 3628.7633975347 1 3438.3642276128 )	46.5917972168
	577	(	3 0 2921.3325579961 2 3618.8070376714 1 3456.4115603765 )	46.5881198835
	578	(	3 0 2878.7605365117 2 3578.9815982183 1 3528.6008914312 )	46.5753951784
	579	(	3 0 2708.4724505742 2 3419.6798404058 1 3817.3582156499 )	46.5570662211
	581	(	3 0 2690.8943255742 2 3428.4689029058 1 3834.9363406499 )	46.4638052187
	582	(	3 0 2638.1599505742 2 3454.8360904058 1 3887.6707156499 )	46.1981760394
	586	(	3 0 2638.1599505742 2 3407.9610904058 1 3950.1707156499 )	45.9780844637
	633	(	3 0 2638.3430560430 2 3405.3976138433 1 3952.6273806890 )	45.9737939538
	634	(	3 0 2638.8923724492 2 3397.7071841558 1 3959.9973758062 )	45.9609649318
	635	(	3 0 2641.0896380742 2 3366.9454654058 1 3989.4773562749 )	45.9102851408
	639	(	3 0 2664.5271380742 2 3355.2267154058 1 3978.7351687749 )	45.9032948418
	650	(	3 0 2664.5271380742 2 3334.7189029058 1 3998.2664187749 )	45.8850523760
	651	(	3 0 2664.5271380742 2 3273.1954654058 1 4056.8601687749 )	45.8328285149
	652	(	3 0 2664.5271380742 2 3027.1017154058 1 4291.2351687749 )	45.6609379533
	653	(	3 0 2664.5271380742 2 2042.7267154058 1 5228.7351687749 )	45.5297199708
	671	(	3 0 2641.0896380742 2 2058.3517154058 1 5275.6101687749 )	45.0876507515
	684	(	3 0 2617.6521380742 2 2069.0939029058 1 5287.3289187749 )	45.0599354111
	685	(	3 0 2547.3396380742 2 2101.3204654058 1 5322.4851687749 )	44.9899202513
	686	(	3 0 2266.0896380742 2 2230.2267154058 1 5463.1101687749 )	44.9125942014
	703	(	3 0 2246.5583880742 2 2251.7110904058 1 5467.0164187749 )	44.8661892382
	704	(	3 0 2187.9646380742 2 2316.1642154058 1 5478.7351687749 )	44.7459647043
	721	(	3 0 2179.1755755742 2 2322.0235904058 1 5489.2332156499 )	44.6833507379
	725	(	3 0 2183.0818255742 2 2302.4923404058 1 5510.7175906499 )	44.6156614523
	741	(	3 0 2189.6736224492 2 2299.1964419683 1 5508.5203250249 )	44.6027984442
	743	(	3 0 2196.5095599492 2 2288.4542544683 1 5511.9382937749 )	44.5988368633
	744	(	3 0 2217.0173724492 2 2256.2276919683 1 5522.1922000249 )	44.5893464096
	745	(	3 0 2299.0486224492 2 2127.3214419683 1 5563.2078250249 )	44.5869548901
